 MALLOC FUNCTION
----------------------------------------------------------------------------------------
|   bufer size | alloc min | alloc avr | alloc max |  free min |  free avr |  free max |
|        bytes |        ns |        ns |        ns |        ns |        ns |        ns |
----------------------------------------------------------------------------------------
|      4096    |        59 |      1053 |      2599 |         0 |         0 |         0 |
|      4096 + 1|        60 |        67 |        70 |         0 |         0 |         0 |
|      8192    |        67 |      1566 |      2693 |         0 |         0 |         0 |
|      8192 + 1|        65 |        68 |        73 |         0 |         0 |         0 |
|     16384    |        68 |      1536 |      2589 |         0 |         0 |         0 |
|     16384 + 1|        67 |        68 |        72 |         0 |         0 |         0 |
|     32768    |        67 |      2264 |      5707 |         0 |         0 |         0 |
|     32768 + 1|        67 |        70 |        75 |         0 |         0 |         0 |
|     65536    |        63 |      1998 |      4095 |         0 |         0 |         0 |
|     65536 + 1|        64 |        68 |        72 |         0 |         0 |         0 |
|    131072    |        68 |      1741 |      3047 |         0 |         0 |         0 |
|    131072 + 1|        67 |        69 |        71 |         0 |         0 |         0 |
|    262144    |        65 |      1931 |      3567 |         0 |         0 |         0 |
|    262144 + 1|        68 |        70 |        74 |         0 |         0 |         0 |
|    524288    |        68 |      1638 |      2775 |         0 |         0 |         0 |
|    524288 + 1|        67 |        70 |        75 |         0 |         0 |         0 |
|   1048576    |        63 |      2113 |      4536 |         0 |         0 |         0 |
|   1048576 + 1|        63 |        71 |        75 |         0 |         0 |         0 |
Segmentation fault (core dumped)

